Sum - revenue,purchase_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cogort,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,Total Result,,,,,,,,
2016-01,112520331.35,23992289.30,26709013.80,27605883.90,26926095.00,25376544.20,23900778.30,27515398.40,27702816.40,31737496.70,32099821.60,31222604.00,20398277.90,16044776.30,19754140.00,16791592.30,17937028.20,16296905.80,14929691.00,14980187.60,14718048.10,16425214.40,17655052.80,15216486.60,618456473.95,,,,,,,,
2016-02,,76659972.90,9375084.60,9920993.60,9263219.70,8567221.60,8446282.60,10071444.60,10787156.80,11648211.40,11333876.40,10541135.50,7349362.30,6063287.30,7163559.90,6246328.90,7089051.90,6133755.60,5564900.60,5196888.20,5265613.50,6153716.80,6911205.00,5966881.20,251719150.90,,,,,,,,
2016-03,,,89331704.00,10334045.40,8835043.00,7862427.30,7489772.50,9404279.50,9362433.50,10855628.70,11090247.00,10086864.90,7099852.20,5872519.10,6625523.80,6096099.80,6370816.20,5786046.00,4984863.10,4915180.90,5339649.00,6055309.40,6918434.60,6315596.00,247032335.90,,,,,,,,
2016-04,,,,87505127.50,7618569.00,6209357.70,6594480.20,6869232.30,7136934.00,8736898.80,8771970.20,7830310.60,5657509.20,4504982.30,5267228.40,4472905.50,4779803.00,4418131.90,4035680.60,3979812.90,3932234.60,4458178.90,5550212.50,4851577.50,203181137.60,,,,,,,,
2016-05,,,,,77422482.90,5671832.60,5064968.30,5333031.20,5310816.70,6165135.90,6280675.10,6043664.20,4099794.30,3452007.30,3960352.20,3656177.70,4262029.10,3594109.40,3244716.30,3206634.20,3205080.20,3704488.20,4104041.20,3942934.80,161724971.80,,,,,,,,
2016-06,,,,,,68918992.10,4443375.30,4990552.70,4639541.90,5176759.00,5868619.40,5126344.30,3318240.10,2792701.80,3444928.20,3021335.80,3342016.30,2967364.40,2987705.00,2739941.40,2558535.00,2886178.40,3475502.10,2854567.80,135553201.00,,,,,,,,
2016-07,,,,,,,71512003.50,4726421.00,3910119.50,4714747.10,4662217.70,4193678.30,3441293.10,2639446.60,3553864.30,2992609.90,3376447.20,2935107.70,2764167.70,2520340.20,2645491.10,3247981.10,3103973.60,3070846.80,130010756.40,,,,,,,,
2016-08,,,,,,,,83235113.50,4623685.50,4842376.70,5064087.00,4834218.90,3630778.90,2809737.70,3529253.00,3195734.50,3075635.50,2814023.10,2683636.20,2429695.80,2632782.60,3157880.60,3443911.80,3175930.80,139178482.10,,,,,,,,
2016-09,,,,,,,,,84694696.80,5123132.70,5077172.10,4363928.10,3031481.60,2560198.90,3150071.40,2862383.30,3446174.20,2936973.90,2575514.90,2418170.30,2748190.90,3295516.70,3701733.00,3389632.40,135374971.20,,,,,,,,
2016-10,,,,,,,,,,106447878.60,5556066.60,4984252.70,3386824.00,2719476.20,3945126.50,3563144.90,3343160.10,2993123.00,2781724.40,2521029.70,2701910.40,3522469.30,3453032.10,3560007.50,155479226.00,,,,,,,,
